Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Sep 2025,HTI,11214615,Ouest,Ouest HT07+HT03,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,current,2025-09-01,2026-02-28,all,101842,1.0
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,current,2025-09-01,2026-02-28,3+,61106,0.6
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,current,2025-09-01,2026-02-28,1,15276,0.15
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,current,2025-09-01,2026-02-28,2,25461,0.25
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,current,2025-09-01,2026-02-28,3,35645,0.35
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,current,2025-09-01,2026-02-28,4,25461,0.25
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,first projection,2026-03-01,2026-07-31,all,101842,1.0
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,first projection,2026-03-01,2026-07-31,3+,61106,0.6
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,first projection,2026-03-01,2026-07-31,1,15276,0.15
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,first projection,2026-03-01,2026-07-31,2,25461,0.25
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,first projection,2026-03-01,2026-07-31,3,35645,0.35
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,first projection,2026-03-01,2026-07-31,4,25461,0.25
Sep 2025,HTI,11214615,Ouest,Ouest_HT01- La gonave,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Ouest,Ouest HT05,current,2025-09-01,2026-02-28,all,234497,1.0
Sep 2025,HTI,11214615,Ouest,Ouest HT05,current,2025-09-01,2026-02-28,3+,105524,0.45
Sep 2025,HTI,11214615,Ouest,Ouest HT05,current,2025-09-01,2026-02-28,1,58624,0.25
Sep 2025,HTI,11214615,Ouest,Ouest HT05,current,2025-09-01,2026-02-28,2,70349,0.3
Sep 2025,HTI,11214615,Ouest,Ouest HT05,current,2025-09-01,2026-02-28,3,70349,0.3
Sep 2025,HTI,11214615,Ouest,Ouest HT05,current,2025-09-01,2026-02-28,4,35175,0.15
Sep 2025,HTI,11214615,Ouest,Ouest HT05,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Ouest,Ouest HT05,first projection,2026-03-01,2026-07-31,all,234497,1.0
Sep 2025,HTI,11214615,Ouest,Ouest HT05,first projection,2026-03-01,2026-07-31,3+,117249,0.5
Sep 2025,HTI,11214615,Ouest,Ouest HT05,first projection,2026-03-01,2026-07-31,1,58624,0.25
Sep 2025,HTI,11214615,Ouest,Ouest HT05,first projection,2026-03-01,2026-07-31,2,58624,0.25
Sep 2025,HTI,11214615,Ouest,Ouest HT05,first projection,2026-03-01,2026-07-31,3,82074,0.35
Sep 2025,HTI,11214615,Ouest,Ouest HT05,first projection,2026-03-01,2026-07-31,4,35175,0.15
Sep 2025,HTI,11214615,Ouest,Ouest HT05,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Ouest,Ouest HT06,current,2025-09-01,2026-02-28,all,103281,1.0
Sep 2025,HTI,11214615,Ouest,Ouest HT06,current,2025-09-01,2026-02-28,3+,51640,0.5
Sep 2025,HTI,11214615,Ouest,Ouest HT06,current,2025-09-01,2026-02-28,1,25820,0.25
Sep 2025,HTI,11214615,Ouest,Ouest HT06,current,2025-09-01,2026-02-28,2,25820,0.25
Sep 2025,HTI,11214615,Ouest,Ouest HT06,current,2025-09-01,2026-02-28,3,36148,0.35
Sep 2025,HTI,11214615,Ouest,Ouest HT06,current,2025-09-01,2026-02-28,4,15492,0.15
Sep 2025,HTI,11214615,Ouest,Ouest HT06,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Ouest,Ouest HT06,first projection,2026-03-01,2026-07-31,all,103281,1.0
Sep 2025,HTI,11214615,Ouest,Ouest HT06,first projection,2026-03-01,2026-07-31,3+,51640,0.5
Sep 2025,HTI,11214615,Ouest,Ouest HT06,first projection,2026-03-01,2026-07-31,1,25820,0.25
Sep 2025,HTI,11214615,Ouest,Ouest HT06,first projection,2026-03-01,2026-07-31,2,25820,0.25
Sep 2025,HTI,11214615,Ouest,Ouest HT06,first projection,2026-03-01,2026-07-31,3,36148,0.35
Sep 2025,HTI,11214615,Ouest,Ouest HT06,first projection,2026-03-01,2026-07-31,4,15492,0.15
Sep 2025,HTI,11214615,Ouest,Ouest HT06,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,current,2025-09-01,2026-02-28,all,443649,1.0
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,current,2025-09-01,2026-02-28,3+,288372,0.65
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,current,2025-09-01,2026-02-28,1,66547,0.15
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,current,2025-09-01,2026-02-28,2,88730,0.2
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,current,2025-09-01,2026-02-28,3,177460,0.4
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,current,2025-09-01,2026-02-28,4,110912,0.25
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,first projection,2026-03-01,2026-07-31,all,443649,1.0
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,first projection,2026-03-01,2026-07-31,3+,288372,0.65
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,first projection,2026-03-01,2026-07-31,1,66547,0.15
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,first projection,2026-03-01,2026-07-31,2,88730,0.2
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,first projection,2026-03-01,2026-07-31,3,177460,0.4
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,first projection,2026-03-01,2026-07-31,4,110912,0.25
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT02,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,current,2025-09-01,2026-02-28,all,367305,1.0
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,current,2025-09-01,2026-02-28,3+,220383,0.6
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,current,2025-09-01,2026-02-28,1,73461,0.2
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,current,2025-09-01,2026-02-28,2,73461,0.2
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,current,2025-09-01,2026-02-28,3,128557,0.35
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,current,2025-09-01,2026-02-28,4,91826,0.25
